uid,浏览量,点赞量,完整观看数,观看作者数,观看作品数,bgm收听数,观看作品平均时长,所在过的城市数,观看作品的所在城市数
45868,31,0,14,31,31,28,13.0,1,28
56606,11,0,3,11,11,11,11.454545454545455,1,11
22778,40,0,14,34,40,37,11.475,1,29
10129,46,0,21,46,46,39,10.0,1,36
16806,86,3,41,82,86,78,12.279069767441861,1,52
2716,88,0,29,88,88,76,11.227272727272727,1,62
13062,19,0,11,19,19,19,11.0,1,18
36852,17,0,8,17,17,16,11.647058823529411,1,15
5975,326,0,70,318,326,225,10.760736196319018,1,146
3925,40,1,22,40,40,37,10.2,2,30
60357,227,3,39,208,227,202,11.872246696035242,1,111
14733,38,0,23,37,38,37,10.894736842105264,3,34
8735,116,0,29,114,116,108,12.10344827586207,1,64
2941,67,0,19,67,67,54,11.805970149253731,1,49
16731,67,13,11,66,67,60,9.746268656716419,1,52
7639,79,1,20,78,79,70,11.316455696202532,2,50
32039,19,1,9,19,19,19,9.894736842105264,1,19
1233,74,0,22,72,74,66,9.5,1,54
49796,7,0,1,7,7,7,10.285714285714286,1,7
5261,144,0,33,118,144,112,10.3125,1,66
17314,8,0,4,6,8,7,14.5,1,6
11778,112,0,20,106,112,89,10.946428571428571,1,63
10661,139,2,62,136,139,108,10.913669064748202,1,87
43945,54,0,9,53,54,50,10.38888888888889,2,42
593,145,0,65,137,145,131,12.220689655172414,1,87
57444,229,0,120,224,229,176,11.131004366812228,1,121
6301,66,0,4,66,66,55,10.43939393939394,1,46
30721,240,1,67,240,240,171,10.225,1,114
20539,67,0,38,66,67,62,11.462686567164178,1,56
31514,140,48,36,127,140,128,11.271428571428572,4,70
9253,60,0,29,59,60,51,11.05,1,49
31042,235,0,131,230,235,189,10.625531914893617,1,114
14270,21,0,6,21,21,21,11.0,1,20
2654,24,0,19,21,24,24,11.083333333333334,1,20
18907,123,0,9,112,123,107,11.252032520325203,1,70
1044,217,1,45,214,217,169,11.285714285714286,2,114
8894,77,0,31,77,77,65,10.246753246753247,1,48
12229,108,0,53,107,108,87,11.768518518518519,1,68
2268,199,3,69,187,199,159,10.577889447236181,1,98
339,168,0,43,158,168,156,11.285714285714286,1,86
31690,170,0,85,166,170,143,11.617647058823529,1,92
9491,106,3,66,103,106,92,12.179245283018869,3,67
2070,80,0,29,76,80,67,12.4625,1,61
38830,99,0,18,96,99,94,11.414141414141413,1,53
30600,56,0,25,56,56,50,10.696428571428571,1,43
33039,12,0,2,12,12,9,9.833333333333334,1,11
3286,266,2,70,229,266,199,10.507518796992482,1,103
2396,90,0,43,88,90,64,11.7,1,61
9033,220,0,86,205,220,193,11.4,1,118
47770,11,0,8,11,11,10,9.545454545454545,1,11
53535,49,0,11,49,49,44,10.775510204081632,1,39
34578,43,0,13,43,43,40,10.162790697674419,1,37
55255,9,0,3,9,9,9,12.222222222222221,1,8
5582,37,0,24,37,37,36,12.135135135135135,1,28
187,85,0,16,82,85,72,11.75294117647059,1,66
12019,130,0,22,127,130,99,11.346153846153847,1,85
18603,92,0,42,89,92,83,12.66304347826087,1,57
34200,53,0,12,52,53,48,12.90566037735849,1,47
1325,398,0,61,328,398,282,11.241206030150753,1,132
2050,210,0,28,170,210,158,10.366666666666667,1,80
2993,72,0,29,71,72,67,11.305555555555555,2,56
31358,239,1,93,235,239,159,10.677824267782427,1,126
12945,210,3,84,209,210,141,10.947619047619048,1,109
32127,60,1,33,60,60,52,11.466666666666667,1,46
8978,74,0,34,71,74,66,12.54054054054054,1,50
26713,47,1,9,45,47,40,11.617021276595745,1,24
11616,25,0,10,25,25,20,10.96,1,18
40335,6,0,6,6,6,6,12.166666666666666,1,6
30762,193,0,93,177,193,141,10.7720207253886,2,105
7371,83,0,56,82,83,71,11.036144578313253,1,67
17820,62,0,26,61,62,50,11.290322580645162,1,52
2829,443,1,89,399,443,326,11.223476297968396,1,137
35076,96,0,49,96,96,73,10.208333333333334,1,61
33888,647,0,70,605,647,386,10.486862442040186,2,167
34169,131,11,101,126,131,110,9.801526717557252,1,77
3584,102,0,45,97,102,96,10.647058823529411,1,73
57756,26,0,10,25,26,24,11.153846153846153,1,25
31325,438,0,88,398,438,328,10.915525114155251,6,159
65508,7,0,3,7,7,7,11.0,1,7
20064,11,1,7,11,11,11,8.272727272727273,2,10
10153,561,3,143,485,561,377,10.55258467023173,1,169
31817,73,0,38,69,73,71,13.178082191780822,1,48
29575,18,0,13,17,18,18,12.166666666666666,1,17
13400,38,0,26,37,38,32,10.421052631578947,1,33
2418,492,0,86,479,492,289,10.914634146341463,3,187
18031,58,0,12,54,58,48,10.39655172413793,1,43
1229,109,0,40,107,109,93,9.660550458715596,3,74
57776,19,0,10,19,19,18,10.105263157894736,1,17
30994,266,0,55,248,266,216,10.68421052631579,1,144
30830,168,0,55,152,168,148,10.910714285714286,1,99
22281,131,0,72,128,131,115,11.312977099236642,1,80
33616,26,0,12,25,26,26,15.5,1,22
32902,76,0,33,73,76,69,10.513157894736842,1,52
5831,75,0,30,73,75,68,11.333333333333334,1,58
662,144,0,47,135,144,132,11.340277777777779,1,81
6865,77,1,47,73,77,69,10.532467532467532,1,52
46717,527,6,95,496,527,365,10.580645161290322,1,171
6128,229,0,71,215,229,186,11.170305676855895,1,106
59132,7,0,7,6,7,6,7.428571428571429,1,4
716,211,4,121,181,211,174,11.236966824644549,1,87
1938,111,0,19,106,111,81,10.783783783783784,1,4
8116,99,0,70,96,99,86,10.797979797979798,1,59
26091,41,1,24,41,41,40,9.585365853658537,1,31
26365,24,0,5,24,24,23,10.625,1,21
32328,19,0,13,19,19,19,10.31578947368421,1,17
275,238,0,65,234,238,186,11.77310924369748,1,112
5251,28,0,10,26,28,26,12.214285714285714,1,21
11868,132,0,62,114,132,117,11.18939393939394,1,84
11749,32,12,4,32,32,29,9.75,1,20
46480,3,0,1,3,3,3,7.666666666666667,3,3
58032,35,0,9,35,35,34,11.257142857142858,1,27
18159,40,1,25,38,40,38,10.875,1,32
31615,331,1,47,279,331,253,10.540785498489425,2,132
44828,10,0,7,10,10,10,9.5,1,10
47251,2,0,2,2,2,2,18.5,1,2
10233,87,0,26,86,87,80,10.988505747126437,1,53
46179,15,0,5,15,15,13,7.866666666666666,5,15
6905,316,4,67,311,316,240,11.136075949367088,1,128
17817,11,0,6,11,11,11,10.272727272727273,1,11
4139,95,10,42,85,95,85,11.873684210526315,1,58
11838,8,0,5,8,8,8,12.0,1,8
33364,69,0,17,66,69,63,11.565217391304348,1,52
50911,17,0,7,17,17,17,10.0,1,15
43743,30,0,23,29,30,29,10.7,2,26
7850,22,0,11,22,22,21,12.0,2,18
3569,361,0,110,323,361,300,10.493074792243767,3,121
3022,250,0,127,243,250,190,10.224,1,118
39831,19,0,14,18,19,19,11.210526315789474,1,17
13122,50,0,31,42,50,45,12.94,1,34
11080,146,0,37,145,146,115,11.047945205479452,1,84
858,176,0,63,175,176,124,10.170454545454545,1,107
22209,39,0,14,38,39,36,10.538461538461538,1,34
32559,132,0,48,112,132,110,11.053030303030303,1,80
12150,87,2,31,84,87,80,12.436781609195402,2,60
44081,28,0,12,27,28,24,11.571428571428571,2,22
6411,70,4,15,70,70,62,9.628571428571428,1,42
45536,41,1,26,40,41,39,11.073170731707316,1,28
42807,16,0,12,16,16,16,10.75,1,15
9674,122,0,42,120,122,89,10.40983606557377,4,83
58503,9,0,7,9,9,8,13.666666666666666,1,7
8652,119,0,46,118,119,103,11.159663865546218,1,87
46655,29,0,14,28,29,29,12.275862068965518,1,25
3491,263,0,115,255,263,180,10.961977186311787,1,132
44122,501,0,102,488,501,339,11.055888223552895,1,204
17835,165,0,54,153,165,144,11.333333333333334,1,83
3244,545,0,71,520,545,367,11.086238532110091,1,175
11329,59,0,21,58,59,52,10.610169491525424,1,44
18892,74,0,19,74,74,68,10.783783783783784,1,57
54974,37,0,20,36,37,34,10.64864864864865,1,32
24814,32,0,12,32,32,31,12.3125,1,23
4818,208,0,10,198,208,157,10.932692307692308,1,123
51998,49,0,11,47,49,46,12.224489795918368,2,35
59018,11,0,6,11,11,11,10.545454545454545,1,11
10734,59,15,13,57,59,55,11.813559322033898,1,45
60428,6,0,6,6,6,6,16.666666666666668,2,5
18167,37,0,14,37,37,36,11.594594594594595,1,34
39618,23,0,10,23,23,23,10.347826086956522,2,20
57690,20,0,12,20,20,19,15.15,1,19
16271,105,0,28,105,105,95,11.152380952380952,1,74
41452,121,7,58,116,121,103,12.272727272727273,2,85
49068,82,0,24,68,82,66,12.512195121951219,1,42
6592,203,0,55,199,203,163,10.74384236453202,1,93
34509,51,0,32,50,51,45,10.27450980392157,2,43
11940,60,50,29,59,60,56,9.883333333333333,1,42
24868,39,0,4,39,39,37,11.512820512820513,1,37
30647,61,0,16,61,61,60,10.40983606557377,1,47
28164,26,0,17,22,26,26,11.461538461538462,1,18
12781,39,0,14,37,39,38,12.461538461538462,1,34
49439,28,0,22,28,28,28,11.892857142857142,1,28
10657,294,3,100,271,294,215,10.275510204081632,1,144
34284,27,0,23,25,27,26,13.037037037037036,1,22
15893,253,4,121,222,253,210,10.65612648221344,1,92
38318,63,0,28,62,63,55,12.142857142857142,2,54
31466,188,6,61,176,188,168,10.345744680851064,4,95
22095,114,0,24,110,114,93,10.93859649122807,2,55
18911,48,0,21,47,48,48,11.75,1,38
32062,29,0,13,29,29,29,10.89655172413793,1,27
40947,293,0,43,249,293,215,10.744027303754267,1,120
32141,449,0,251,418,449,286,11.726057906458797,1,173
13187,14,0,8,14,14,13,12.285714285714286,1,13
23960,7,0,2,7,7,7,9.857142857142858,1,6
2440,71,0,13,68,71,70,11.887323943661972,1,47
2400,97,1,56,97,97,86,10.721649484536082,2,66
45638,19,0,12,19,19,19,10.210526315789474,1,18
30672,158,0,50,152,158,117,10.974683544303797,1,83
52481,40,0,21,39,40,35,10.4,1,27
43921,221,0,81,203,221,205,10.67420814479638,1,98
7241,101,0,48,95,101,82,11.0,1,64
5121,86,0,25,85,86,78,10.581395348837209,1,49
31943,113,1,52,113,113,83,10.601769911504425,3,71
44319,66,0,25,64,66,64,12.090909090909092,1,43
35122,42,0,7,40,42,39,12.30952380952381,1,36
30781,279,0,98,267,279,184,11.275985663082437,1,122
46449,62,0,29,61,62,57,10.46774193548387,1,47
8606,148,2,21,135,148,120,10.83108108108108,1,87
31505,89,0,20,89,89,87,10.292134831460674,1,53
7737,207,7,72,203,207,157,11.169082125603865,2,115
3458,579,0,265,524,579,405,11.14853195164076,3,207
1580,172,0,40,171,172,146,10.831395348837209,1,113
4498,492,0,102,336,492,284,11.067073170731707,1,123
32903,180,0,70,171,180,148,11.25,1,91
9749,86,0,26,78,86,73,12.627906976744185,1,45
11679,69,0,23,69,69,64,10.81159420289855,1,52
19321,83,0,28,76,83,74,11.91566265060241,1,47
18057,64,0,20,62,64,59,10.984375,1,52
30881,129,0,84,117,129,110,11.209302325581396,1,54
4557,326,0,88,306,326,279,11.070552147239264,1,130
1330,421,183,172,399,420,271,10.964370546318289,2,172
47429,25,9,16,25,25,23,9.52,1,23
36413,180,0,58,172,180,147,10.733333333333333,1,89
7450,11,0,2,11,11,10,9.545454545454545,2,11
39025,11,1,7,11,11,8,11.090909090909092,1,11
30720,73,0,21,73,73,65,11.547945205479452,1,60
533,324,0,114,306,324,236,11.015432098765432,2,142
47389,59,0,44,59,59,50,9.186440677966102,2,41
18257,30,0,5,30,30,29,9.7,1,28
1286,404,0,72,393,404,335,11.245049504950495,1,131
5009,64,0,20,61,64,46,11.546875,1,47
3955,58,0,19,58,58,53,12.068965517241379,1,50
1308,131,0,24,122,131,117,11.870229007633588,1,60
10780,223,1,50,158,223,136,10.506726457399104,1,77
35294,22,1,9,22,22,22,12.590909090909092,1,19
8270,139,0,28,139,139,110,11.280575539568344,1,92
14805,56,0,30,53,56,50,10.678571428571429,1,33
2978,38,0,26,38,38,35,10.973684210526315,1,36
35009,10,0,8,10,10,9,9.4,1,10
1806,158,1,22,149,158,129,10.79746835443038,1,93
32625,34,0,8,33,34,32,9.117647058823529,1,23
22269,46,0,20,46,46,36,10.26086956521739,1,40
26748,17,0,9,17,17,15,11.058823529411764,3,17
33240,458,0,58,439,458,286,10.611353711790393,2,174
32908,89,0,49,85,89,68,10.460674157303371,2,64
20948,51,0,24,49,51,46,13.450980392156863,1,40
51254,12,0,5,12,12,12,9.833333333333334,1,11
36057,25,0,14,24,25,23,12.0,1,22
2845,41,0,17,40,41,39,13.146341463414634,1,28
49751,10,0,7,8,10,10,18.3,1,8
57210,22,0,11,22,22,20,10.954545454545455,1,22
45831,74,0,26,71,74,60,12.567567567567568,2,46
40989,10,0,5,10,10,10,17.0,1,10
61982,15,0,8,15,15,15,11.133333333333333,1,14
2851,117,0,50,115,117,85,11.991452991452991,4,80
19364,29,0,16,29,29,23,10.379310344827585,2,27
11556,76,0,36,74,76,70,10.421052631578947,1,63
3351,126,1,33,123,126,109,11.26984126984127,1,72
22240,20,0,15,20,20,17,11.55,1,19
3814,65,0,35,64,65,57,11.476923076923077,1,53
63480,4,0,4,4,4,4,14.25,1,4
10462,103,0,13,100,103,85,10.844660194174757,1,61
32650,87,0,15,77,87,77,12.068965517241379,1,49
9073,33,0,5,33,33,29,11.151515151515152,1,30
41836,50,0,16,46,50,46,11.16,1,37
35747,29,0,18,28,29,26,13.517241379310345,5,28
44270,28,0,5,27,28,28,10.285714285714286,1,22
16613,122,1,39,120,122,106,11.672131147540984,1,86
34674,291,1,47,290,291,207,10.945017182130584,2,103
36601,18,0,15,18,18,17,9.555555555555555,1,17
29870,33,0,21,32,33,30,10.666666666666666,2,26
14072,74,0,24,72,74,71,11.891891891891891,1,54
37010,53,0,15,47,53,45,11.264150943396226,1,33
1002,44,0,28,44,44,38,10.318181818181818,1,37
34296,149,0,56,149,149,121,10.906040268456376,1,88
3186,71,0,44,70,71,59,11.408450704225352,1,61
24472,126,0,77,119,126,99,10.65079365079365,1,77
885,103,0,31,102,103,86,11.281553398058252,1,79
61121,42,0,14,42,42,42,10.5,1,32
18226,42,0,29,41,42,40,10.095238095238095,1,33
65710,2,0,1,2,2,2,13.5,1,2
22604,9,0,5,9,9,9,11.88888888888889,1,8
21289,166,0,101,164,166,127,10.41566265060241,1,105
54893,2,0,2,2,2,2,8.5,1,2
8228,35,1,24,33,35,30,11.17142857142857,1,28
17715,61,7,27,55,61,45,11.491803278688524,1,28
16960,101,0,14,101,101,88,11.663366336633663,3,60
11630,58,0,14,58,58,54,11.948275862068966,5,43
6685,150,1,65,147,150,123,12.02,1,91
31463,333,0,117,262,333,232,10.747747747747749,10,100
2878,135,2,57,130,135,119,11.703703703703704,1,79
13358,59,0,27,54,59,54,10.898305084745763,1,41
41070,9,0,6,9,9,9,9.88888888888889,1,9
19005,27,0,14,24,27,26,11.0,2,22
34770,22,0,17,22,22,20,10.5,1,18
5850,93,4,31,91,93,85,10.473118279569892,1,65
52497,5,0,0,5,5,5,12.2,1,5
8473,217,0,66,205,217,187,10.493087557603687,1,87
18988,78,0,39,75,78,75,11.987179487179487,1,55
1903,391,0,52,347,391,327,11.682864450127877,1,122
7753,135,0,31,131,135,121,11.25925925925926,1,76
624,57,0,28,55,57,52,11.614035087719298,1,34
1186,65,0,29,63,65,61,11.015384615384615,3,46
30588,505,0,110,421,505,341,11.015841584158416,1,147
31635,48,0,19,48,48,42,10.4375,1,43
12158,157,0,16,144,157,145,11.101910828025478,1,99
6096,170,0,80,160,170,128,10.041176470588235,2,90
3634,59,0,24,59,59,51,11.305084745762711,1,47
13310,25,3,10,25,25,25,10.04,1,23
45667,67,0,21,66,67,64,11.194029850746269,1,43
43395,3,0,3,3,3,3,9.666666666666666,1,3
2702,27,0,9,27,27,27,10.851851851851851,1,27
43667,484,0,93,413,484,370,10.37190082644628,1,149
2098,172,1,59,165,172,140,11.063953488372093,4,91
46268,11,0,3,11,11,10,10.545454545454545,1,9
609,70,0,21,70,70,53,11.214285714285714,1,55
23,62,0,16,60,62,52,9.887096774193548,2,46
12644,52,0,25,52,52,50,10.73076923076923,1,43
27534,36,0,19,35,36,34,10.472222222222221,2,26
17155,41,0,15,39,41,37,12.731707317073171,3,34
12325,29,0,12,29,29,24,10.03448275862069,1,28
34166,113,0,26,112,113,84,12.035398230088495,1,82
13917,60,2,45,59,60,46,11.216666666666667,2,44
31714,39,0,13,38,39,37,10.692307692307692,1,29
9906,158,0,28,152,158,139,10.924050632911392,1,94
5599,50,0,16,50,50,33,11.36,1,41
60288,2,0,1,2,2,2,9.5,1,2
8312,51,0,23,51,51,48,10.862745098039216,1,46
28526,76,0,27,71,76,67,10.289473684210526,1,50
44493,116,0,23,108,116,102,10.336206896551724,1,72
7735,80,0,29,79,80,65,10.1625,3,64
34520,209,3,76,194,209,168,10.703349282296651,1,111
31518,38,0,14,37,38,30,9.68421052631579,6,26
22368,109,0,59,108,109,81,11.009174311926605,4,69
31837,203,0,45,202,203,164,11.556650246305418,1,111
36060,75,1,22,73,75,64,11.386666666666667,1,55
1145,85,0,35,80,85,78,10.31764705882353,1,60
437,58,0,30,58,58,45,12.413793103448276,2,48
30846,142,0,30,119,142,100,10.82394366197183,1,80
50156,23,0,11,23,23,23,11.608695652173912,3,22
32154,99,0,61,97,99,87,10.515151515151516,1,67
1214,142,1,48,133,142,107,11.098591549295774,1,57
4668,43,0,22,42,43,42,11.581395348837209,1,20
8419,110,1,39,104,110,101,11.836363636363636,3,41
7317,32,0,21,32,32,28,10.03125,1,24
15545,19,0,5,19,19,16,10.631578947368421,1,17
3806,64,0,40,64,64,55,11.234375,1,47
4584,6,0,2,6,6,6,9.333333333333334,1,6
31105,56,0,33,56,56,51,9.589285714285714,1,43
32584,124,0,46,119,124,108,9.701612903225806,1,88
7948,31,0,12,30,31,27,14.35483870967742,2,25
565,718,0,100,696,718,486,10.789693593314762,1,210
30503,45,0,41,45,45,41,11.822222222222223,1,35
4405,20,0,6,20,20,19,10.35,1,17
2661,53,2,21,50,53,49,10.679245283018869,6,43
26426,42,0,11,42,42,36,11.404761904761905,3,33
228,79,0,38,79,79,73,10.936708860759493,3,64
9105,72,0,40,69,72,68,12.027777777777779,1,41
25448,15,1,7,14,15,15,12.333333333333334,1,13
16835,19,0,14,18,19,19,9.578947368421053,4,17
53,450,1,127,388,450,333,11.144444444444444,1,151
8777,43,0,17,43,43,42,11.325581395348838,5,35
31288,149,0,48,148,149,110,11.046979865771812,1,102
9747,23,0,8,23,23,19,11.130434782608695,1,18
22266,32,0,16,27,32,30,10.9375,1,24
4262,53,0,24,53,53,44,10.20754716981132,1,35
1095,378,0,139,319,378,276,11.261904761904763,1,135
19348,48,0,18,47,48,43,10.0625,2,36
49927,19,0,5,19,19,19,9.842105263157896,1,19
57703,18,0,12,18,18,18,10.88888888888889,1,16
37912,56,0,7,55,56,48,12.178571428571429,3,48
6553,28,0,22,27,28,28,9.571428571428571,1,23
38442,5,0,4,5,5,5,8.6,1,5
64436,7,0,0,6,7,7,8.714285714285714,1,6
2853,214,1,111,195,214,172,11.30841121495327,1,111
49233,21,1,6,20,21,20,9.761904761904763,1,15
37219,181,0,82,170,181,148,10.795580110497237,1,99
61904,11,0,9,11,11,11,9.181818181818182,1,11
51923,6,0,5,5,6,6,16.666666666666668,1,5
14294,12,0,2,12,12,12,10.333333333333334,1,12
2255,199,0,44,191,199,160,11.457286432160805,2,111
6066,162,0,19,159,162,115,11.049382716049383,1,111
9968,22,0,12,21,22,21,12.181818181818182,1,21
36174,51,0,35,50,51,47,11.137254901960784,2,44
5767,53,0,18,49,53,49,9.849056603773585,1,37
6665,397,0,19,378,397,270,10.899244332493703,2,113
1776,94,0,36,92,94,83,11.414893617021276,1,66
8861,60,0,31,57,60,57,11.55,1,44
2827,15,0,4,15,15,15,12.0,1,15
4741,308,3,26,289,308,263,10.782467532467532,1,86
7898,150,0,67,150,150,125,11.686666666666667,1,86
2375,60,0,28,59,60,51,10.316666666666666,1,51
15663,40,0,27,40,40,34,9.825,1,36
39108,6,0,3,6,6,6,13.5,1,4
13842,99,0,50,99,99,89,11.04040404040404,1,79
23802,42,0,17,41,42,42,12.095238095238095,1,34
18994,386,2,91,316,386,288,11.515544041450777,1,121
1819,76,24,32,75,76,70,11.394736842105264,1,61
38783,3,0,3,2,3,3,9.333333333333334,1,2
28820,37,0,21,37,37,35,12.108108108108109,1,33
20445,109,0,31,104,109,77,10.770642201834862,1,67
54463,9,2,0,9,9,9,9.666666666666666,1,9
13341,213,0,153,198,213,168,10.183098591549296,1,117
55158,3,1,2,3,3,3,9.0,1,3
10095,460,0,62,432,460,331,10.584782608695653,1,177
5343,12,0,9,12,12,12,10.083333333333334,1,10
365,163,0,52,160,163,122,10.220858895705522,4,107
4403,85,3,33,79,85,74,10.48235294117647,1,54
10394,174,0,26,171,174,123,10.626436781609195,1,92
18675,14,1,6,14,14,14,9.571428571428571,1,11
37908,120,0,66,115,120,104,12.05,1,71
21104,85,0,24,84,85,81,12.094117647058823,1,50
32670,210,0,81,200,210,165,11.028571428571428,1,114
41101,29,0,13,29,29,26,11.068965517241379,1,27
39046,8,0,6,8,8,8,17.125,1,8
10134,63,0,36,63,63,52,11.333333333333334,1,51
44968,13,0,10,13,13,13,11.461538461538462,1,12
42385,3,0,1,3,3,3,7.333333333333333,1,3
9056,78,0,14,76,78,67,11.320512820512821,5,59
12115,21,0,6,19,21,21,11.80952380952381,1,17
9038,22,0,13,21,22,22,13.909090909090908,1,20
40340,4,0,2,4,4,4,16.0,1,4
